waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=1.35e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=1.35e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=2.25e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=2.25e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=3.15e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=3.15e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=4.5e-08) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=4.5e-08) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=4.05e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=4.05e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=4.95e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=4.95e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=5.85e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=5.85e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=6.75e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (6.28 * OP("/PM0" "cgg")))) (length=6.75e-07) Y
2.280386576995854,37324580608.55921,2.260828987894946,19042672298.21977,2.274253829919334,11668755140.37245,2.703673395441432,115895320541.2426,2.285970433329043,7909960909.277067,2.291724772359191,5720480373.881081,2.315618025993905,4312252473.621001,2.333545570819563,3356260152.980636
2.908808884955458,36947281617.85487,2.843773950511495,18638773515.10567,2.848491438758771,11356680118.48123,3.681076031519165,116329861719.6717,2.862817283335766,7686088296.176969,2.87657110304085,5565786688.537611,2.904661391504973,4181435278.758506,2.924052029722602,3244742399.88255
3.882241157953185,35585742375.53909,3.700479643493723,17658891328.53384,3.662783232091482,10635488029.87681,5.399790570528455,111991316734.609,3.655583797011432,7139979560.996266,3.657219262371021,5141655363.274796,3.675415993525128,3834037904.883213,3.685978051096476,2958588615.245275
5.580949967499671,32887829388.76082,5.130011278339033,16107878946.95013,4.981919118045667,9575376110.835854,8.564248676568004,95222314904.60193,4.91098745080506,6362132762.515366,4.869554658053773,4544270261.05551,4.854362846423994,3357744807.023941,4.837852587436334,2573828371.801743
8.952038739821042,27600694463.14562,7.960997555381901,13768116034.90304,7.567702279813326,8161238372.39409,13.26275718549551,56974314151.76772,7.344938513923561,5391664114.639702,7.195847469163896,3829089903.143806,7.094419836037468,2807967813.547702,7.008646877625374,2140736840.220905
15.5382509143865,16940274408.38571,14.25244204634464,9418067362.963171,13.52606860464255,5787367666.507606,16.88998561255069,19594278532.9065,13.03572109860969,3890563990.622496,12.67069511012088,2791075363.020209,12.37556267733253,2056826895.577733,12.12785276580671,1574758448.615535
23.57226069969957,5042751101.894518,23.86208466177561,3093400076.809402,23.61705727880608,2020681959.071958,20.56267610080972,4413646892.4414,23.29609600585616,1422725835.180133,22.97976704051835,1059401259.083926,22.67202779257971,807516558.951427,22.38656611192198,636615290.5661044
30.09872240329977,626134932.1481775,30.42832631521967,409154009.3489593,30.32786044982572,274609749.5074012,26.46308577357439,567978426.2783909,30.16907305507106,196505021.3984741,30.01307038038854,148258473.3265662,29.92624093644998,114867709.6631976,29.84000242364499,91977144.29830068
33.61734136240042,31319914.22533314,33.93995988305119,23507896.37581453,33.98604965591778,17869945.00417334,30.41829929086073,36977442.46512569,33.96288175931141,13965862.77069086,33.91751681655179,11216977.19278781,33.95504113708289,9044520.277869005,33.97315848747101,7469400.578646099
34.87495051409599,1033031.319346496,35.22480818681078,770014.7670449401,35.35812209067227,602956.6480377314,31.94762650136802,1684442.820054126,35.42253548178508,488866.5746223307,35.45710498224835,407083.5462050068,35.56753821514491,335430.6249016896,35.65065796904182,282787.0933467687
35.22299134250154,30238.70116751679,35.61459926827127,21522.58007730691,35.78181424351434,16537.35900255798,32.39942556689497,67280.60075732379,35.87365400352201,13288.32910463891,35.93121787671421,11018.15840735386,36.05665730346802,8977.408715980948,36.15314300854256,7508.555573850282
